user,repo,file,nbr of comits in the last year,nbr of commits in the last 6 month,nbr of commits in the last month,Data of creation,repos html url,
live-clones,eigen,test.gitlab-ci.yml,,,,2020-05-02,https://github.com/live-clones/eigen/blob/3753e6a2b3df54fb38c14638a46f83159cee9bde/ci/test.gitlab-ci.yml,api.github.com/repos/live-clones/eigen
NextDroid,eigen,smoketests.gitlab-ci.yml,,,,2021-10-04,https://github.com/NextDroid/eigen/blob/8ce341caf2947e4b5ac4580c20254ae7d828b009/ci/smoketests.gitlab-ci.yml,api.github.com/repos/NextDroid/eigen
NextDroid,eigen,test.gitlab-ci.yml,,,,2021-10-04,https://github.com/NextDroid/eigen/blob/8ce341caf2947e4b5ac4580c20254ae7d828b009/ci/test.gitlab-ci.yml,api.github.com/repos/NextDroid/eigen
NextDroid,eigen,build.gitlab-ci.yml,,,,2021-10-04,https://github.com/NextDroid/eigen/blob/8ce341caf2947e4b5ac4580c20254ae7d828b009/ci/build.gitlab-ci.yml,api.github.com/repos/NextDroid/eigen
SWang525,eigen,build.gitlab-ci.yml,,,,2021-08-24,https://github.com/SWang525/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/build.gitlab-ci.yml,api.github.com/repos/SWang525/eigen
SWang525,eigen,smoketests.gitlab-ci.yml,,,,2021-08-24,https://github.com/SWang525/eigen/blob/7a7650f4e773f68b7b54e97732d3cd62b4056041/ci/smoketests.gitlab-ci.yml,api.github.com/repos/SWang525/eigen
val-verde,eigen,build.gitlab-ci.yml,,,,2021-09-28,https://github.com/val-verde/eigen/blob/3147391d946bb4b6c68edd901f2add6ac1f31f8c/ci/build.gitlab-ci.yml,api.github.com/repos/val-verde/eigen
val-verde,eigen,smoketests.gitlab-ci.yml,,,,2021-09-28,https://github.com/val-verde/eigen/blob/3147391d946bb4b6c68edd901f2add6ac1f31f8c/ci/smoketests.gitlab-ci.yml,api.github.com/repos/val-verde/eigen
val-verde,eigen,test.gitlab-ci.yml,,,,2021-09-28,https://github.com/val-verde/eigen/blob/3147391d946bb4b6c68edd901f2add6ac1f31f8c/ci/test.gitlab-ci.yml,api.github.com/repos/val-verde/eigen
zap150,eigen,smoketests.gitlab-ci.yml,,,,2020-11-11,https://github.com/zap150/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/smoketests.gitlab-ci.yml,api.github.com/repos/zap150/eigen
zap150,eigen,build.gitlab-ci.yml,,,,2020-11-11,https://github.com/zap150/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/build.gitlab-ci.yml,api.github.com/repos/zap150/eigen
zap150,eigen,test.gitlab-ci.yml,,,,2020-11-11,https://github.com/zap150/eigen/blob/e9e90892fecb4bebe6473e9de491bfcd6c0de37f/ci/test.gitlab-ci.yml,api.github.com/repos/zap150/eigen
thornjad,emacs,gitlab-ci.yml,6040,2721,635,2020-12-10,https://github.com/thornjad/emacs/blob/6e37350081eb8a76dcbe15285e68330df51ea4ba/test/infra/gitlab-ci.yml,api.github.com/repos/thornjad/emacs
ayatakesi,emacs-mirror,gitlab-ci.yml,,,,2021-06-20,https://github.com/ayatakesi/emacs-mirror/blob/a1ef181ef91e74fbb35439ff4e1fe9c32b6d0f45/test/infra/gitlab-ci.yml,api.github.com/repos/ayatakesi/emacs-mirror
link0ff,emacs-mirror,gitlab-ci.yml,,,,2021-03-11,https://github.com/link0ff/emacs-mirror/blob/885aeae6a30a89768fb8b5e12cae995ee9672f48/test/infra/gitlab-ci.yml,api.github.com/repos/link0ff/emacs-mirror
EOS-uiux-Solutions,eos-game,%20.gitlab-ci.yml,,,,2021-05-28,https://github.com/EOS-uiux-Solutions/eos-game/blob/f05a23ed8df867ddc2da52865734610896fc24de/%20.gitlab-ci.yml,api.github.com/repos/EOS-uiux-Solutions/eos-game
janislley,ESBMSC-wr_tests,gitlab-ci.yml,,,,2021-09-05,https://github.com/janislley/ESBMSC-wr_tests/blob/524a1372d87882c8d77c393a7a41988a6f961b0c/vlc/extras/ci/gitlab-ci.yml,api.github.com/repos/janislley/ESBMSC-wr_tests
Marlon-Lazo-Coronado,Estructuras_Compus_II,gitlab-ci.yml,,,,2021-08-04,https://github.com/Marlon-Lazo-Coronado/Estructuras_Compus_II/blob/54c25c745a910f87afd3b9c23924d22452b7d2d2/tarea1_estructuras-de-compus_ii-master/gitlab-ci.yml,api.github.com/repos/Marlon-Lazo-Coronado/Estructuras_Compus_II
TinkerBoard2-Android,external-mesa3d,gitlab-ci.yml,,,,2021-09-27,https://github.com/TinkerBoard2-Android/external-mesa3d/blob/bc0591e16383171dd2d6a80475624746681f5c55/src/gallium/drivers/panfrost/ci/gitlab-ci.yml,api.github.com/repos/TinkerBoard2-Android/external-mesa3d
dbmarais,ga,gitlab-ci.yml,,,,2021-09-27,https://github.com/dbmarais/ga/blob/c575be6ec631d1f4200ebddb4b9ca7c439eab479/packrat/lib/x86_64-pc-linux-gnu/3.6.3/usethis/templates/gitlab-ci.yml,api.github.com/repos/dbmarais/ga
daetalys,gitFOSS,Jigsaw.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Pages/Jigsaw.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,PHP.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/PHP.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Accessibility.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Verify/Accessibility.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Getting-Started.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Getting-Started.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Helm-2to3.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Jobs/Helm-2to3.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Elixir.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Elixir.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
